Participant_ID,Route,evn,probe_label,seq,Question_Type,Target_Accuracy,Target_Latency,Target_Confidence,target_dwell,error_dial,latency_dial,unsure_dial,attn_risk,error_dial_recent,latency_dial_recent,unsure_dial_recent,attn_risk_recent,error_dial_prev,latency_dial_prev,unsure_dial_prev,attn_risk_prev,recent_flag,recent_sustained,recent_level,conf_prompt,conf_confirmed,overconf_flag,attn_risk_recent_adj,attn_risk_recent_adj_prev,recent_level_adj,is_error,is_delayed,is_unsure,any_fail,lapse
01_RT,1,1,R1Q1,0,Animal,0,3.137,1.0,0.0332,0.31111112,0.25,0.44,0.31111112236976624,0.31111112236976624,0.25,0.44,0.31111112236976624,,,,,1,0,Red,1,1,0,0.6610169491525424,,Red,1,0,1,1,0
01_RT,1,3,R1Q3,1,Sign,1,5.334,6.0,0.0,0.31111112,0.25,0.44,0.31111112236976624,0.31111112236976624,0.25,0.44,0.31111112236976624,0.31111112236976624,0.25,0.44,0.31111112236976624,1,1,Red,1,0,1,0.4860640357611543,0.6610169491525424,Red,0,1,0,1,0
01_RT,2,2,R2Q2,2,Sign,1,2.25,7.0,0.0456,0.25,0.053763440860215055,0.44,0.25,0.2805555611848831,0.15188172043010753,0.44,0.2805555611848831,0.31111112236976624,0.25,0.44,0.31111112236976624,1,1,Red,1,0,1,0.36803201788057716,0.4860640357611543,Red,0,0,0,0,0
01_RT,2,3,R2Q3,3,Animal,0,4.14,1.0,0.0,0.31111112,0.2692307692307692,0.3392857142857143,0.31111112236976624,0.2958333417773247,0.2105562448304384,0.3896428571428572,0.2958333417773247,0.2805555611848831,0.15188172043010753,0.44,0.2805555611848831,1,1,Red,1,1,0,0.5145244835165598,0.36803201788057716,Red,1,1,1,1,0
01_RT,3,1,R3Q1,4,Animal,1,3.84,6.0,0.0,0.4390244,0.2692307692307692,0.44,0.4390243887901306,0.36742886528372765,0.2398935070306038,0.41482142857142856,0.36742886528372765,0.2958333417773247,0.2105562448304384,0.3896428571428572,0.2958333417773247,1,1,Red,1,0,1,0.4767744361533452,0.5145244835165598,Red,0,1,0,1,0
01_RT,3,3,R3Q3,5,Sign,0,2.636,1.0,0.0,0.4390244,0.25,0.5,0.4390243887901306,0.40322662703692913,0.2449467535153019,0.4574107142857143,0.40322662703692913,0.36742886528372765,0.2398935070306038,0.41482142857142856,0.36742886528372765,1,1,Red,1,1,0,0.5688956926529438,0.4767744361533452,Red,1,0,1,1,0
01_RT,4,2,R4Q2,6,Sign,1,2.98,7.0,0.0,0.31111112,0.25,0.3392857142857143,0.31111112236976624,0.3571688747033477,0.24747337675765096,0.3983482142857143,0.3571688747033477,0.40322662703692913,0.2449467535153019,0.4574107142857143,0.40322662703692913,1,1,Red,1,0,1,0.440003407511355,0.5688956926529438,Red,0,0,0,0,1
01_RT,4,3,R4Q3,7,Animal,1,3.09,2.0,0.008400000000000001,0.31111112,0.25,0.32608695652173914,0.31111112236976624,0.33413999853655696,0.24873668837882548,0.3622175854037267,0.33413999853655696,0.3571688747033477,0.24747337675765096,0.3983482142857143,0.3571688747033477,1,1,Red,1,1,0,0.5505101783319487,0.440003407511355,Red,0,0,1,0,0
01_RT,6,1,R6Q1,8,Sign,1,4.193,6.0,0.0,0.31111112,0.2692307692307692,0.44,0.31111112236976624,0.3226255604531616,0.25898372880479736,0.4011087927018634,0.3226255604531616,0.33413999853655696,0.24873668837882548,0.3622175854037267,0.33413999853655696,1,1,Red,1,0,1,0.43081065035085747,0.5505101783319487,Red,0,1,0,1,1
02_RT,1,1,R1Q1,0,Animal,1,3.32,6.0,0.0,0.20408164,0.14925373134328357,0.3392857142857143,0.20408163964748383,0.20408163964748383,0.14925373134328357,0.3392857142857143,0.20408163964748383,,,,,1,0,Amber,0,0,0,0.20408163964748383,,Amber,0,0,0,0,0
02_RT,1,3,R1Q3,1,Sign,0,8.04,5.0,0.0,0.25,0.20833333333333334,0.3392857142857143,0.25,0.2270408198237419,0.17879353233830847,0.3392857142857143,0.2270408198237419,0.20408163964748383,0.14925373134328357,0.3392857142857143,0.20408163964748383,1,1,Amber,0,0,0,0.2270408198237419,0.20408163964748383,Amber,1,1,0,1,0
