Participant_ID,probes,error_dial,latency_dial,unsure_dial,attn,lapses,n_error,n_delayed,fails,fail_rate,e_lift,f_lift,dominant_mode,rank,cum_fail_frac
08_RT,12,0.3666003,0.2363178935759581,0.4366071428571428,0.3669546114073859,2,1,2,2,0.16666666666666666,1.6940794,1.7290592546640933,latency,1,0.015384615384615385
11_RT,12,0.3537489,0.21561850589895848,0.35791666666666666,0.3611562843124072,1,4,1,4,0.3333333333333333,1.6346923,1.5776087348273795,error,2,0.046153846153846156
15_RT,12,0.2991854,0.1892573423206548,0.30537357887472305,0.3376000177115202,0,4,4,6,0.5,1.3825514,1.3847328879794576,latency,3,0.09230769230769231
01_RT,9,0.33274615,0.23460619428361362,0.4116287094547964,0.33274616797765094,2,3,4,6,0.6666666666666666,1.5376375,1.7165353215084396,latency,4,0.13846153846153847
36_RT,12,0.3273374,0.24465811965811968,0.41277777777777774,0.3273374065756798,0,8,5,10,0.8333333333333334,1.5126435,1.7900819088319089,latency,5,0.2153846153846154
16_RT,12,0.2536809,0.18885977841502635,0.33289941338854384,0.3166346851205803,1,2,3,3,0.25,1.1722729,1.3818240454032762,latency,6,0.23846153846153847
25_RT,12,0.31318396,0.17405553909525984,0.3261620082815735,0.3147865286431251,2,3,0,3,0.25,1.4472396,1.2735063610469846,error,7,0.26153846153846155
33_RT,12,0.26370773,0.18306389886794316,0.3241849188187861,0.27111514856417973,2,4,2,4,0.3333333333333333,1.2186073,1.3394175267171176,latency,8,0.2923076923076923
23_RT,12,0.2618637,0.1297698115825222,0.3192363341217494,0.2663439840585741,0,5,1,5,0.4166666666666667,1.210086,0.9494824547454541,error,9,0.33076923076923076
24_RT,12,0.26385477,0.14408229589380286,0.2928957544116045,0.26385478861629963,1,7,1,7,0.5833333333333334,1.2192868,1.054202131622991,error,10,0.38461538461538464
21_RT,11,0.2600515,0.06565621828019517,0.26285625130018725,0.2600514909083193,3,7,2,8,0.7272727272727273,1.2017117,0.4803846637500947,error,11,0.4461538461538462
07_RT,12,0.24679542,0.17478826107557452,0.39321428571428574,0.25952488083583897,0,6,1,7,0.5833333333333334,1.1404546,1.2788674435362868,latency,12,0.5
34_RT,12,0.24954897,0.15992672669971658,0.35231802331916745,0.25807522405958294,2,6,4,7,0.5833333333333334,1.1531789,1.1701305503529262,latency,13,0.5538461538461539
30_RT,12,0.24969602,0.17318409870769044,0.37788819875776397,0.25475004835866677,0,1,2,3,0.25,1.1538584,1.2671303222112684,latency,14,0.5769230769230769
32_RT,12,0.24368282,0.15244495647721454,0.3141692546583851,0.2510902361323436,1,1,4,5,0.4166666666666667,1.1260711,1.1153889315582863,error,15,0.6153846153846154
37_RT,12,0.23903657,0.1788483693725629,0.3060327449057426,0.2464225521772845,0,2,4,5,0.4166666666666667,1.1046007,1.3085739025759187,latency,16,0.6538461538461539
06_RT,12,0.22944067,0.1342551135672224,0.33225849950964365,0.23919441184618975,0,2,0,2,0.16666666666666666,1.0602574,0.9822999142668438,error,17,0.6692307692307692
14_RT,12,0.22845046,0.14449927780452576,0.33119565217391306,0.23741102452293092,0,4,0,4,0.3333333333333333,1.0556816,1.05725304926978,latency,18,0.7
