blind_id,first_gaze_s,gaze_to_stimulus_latency_s,precue_fixation_0_1,offroad_dwell_total_s,longest_offroad_dwell_s,apparent_lean_in_0_1,approach_to_board_0_3,line_departure_0_2,notes,set,pid,route,event,qtype,target,strategy,collision,flag5s,start_s,content_end_s,cue_s,ans_s,collision_s,fg_raw,lat_entered,GLITCH,latency_s,precue_fixation_0_1_n,apparent_lean_in_0_1_n,approach_to_board_0_3_n,line_departure_0_2_n,no_acquisition,approach,lean,linedep,dualzoom,visualID
CLIP_000547,0,,1.0,,,0.0,0.0,0.0,,D,37_RT,3,Q3,Sign,Markings,Not_Applicable,0,0,31.29,38.37,33.29,37.37,,0.0,,False,0.0,1.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,True
CLIP_082CF2,3.554,,0.0,,,1.0,0.0,0.0,attempt to look at the sign as passing. Don’t stop but seem to struggle,D,24_RT,3,Q1,Animal,Rabbit,Not_Applicable,0,0,9.92,15.15,11.92,14.15,,3.554,,False,1.5539999999999998,0.0,1.0,0.0,0.0,False,0.0,1.0,0.0,0.0,True
CLIP_092699,3.502,,0.0,,,0.0,0.0,0.0,,D,08_RT,3,Q3,Sign,Markings,Not_Applicable,0,0,24.53,29.25,26.53,28.25,,3.502,,False,1.5019999999999998,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,True
CLIP_098692,3.000,,1.0,,,0.0,0.0,0.0,,D,23_RT,3,Q1,Animal,Rabbit,Not_Applicable,0,0,5.36,12.1,7.36,11.1,,3.0,,False,1.0,1.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,True
CLIP_0AB025,5.824,,0.0,,,1.0,1.0,1.0,,D,36_RT,3,Q1,Animal,Rabbit,Not_Applicable,1,1,6.14,16.14,8.14,15.45,16.4,5.824,,False,3.824,0.0,1.0,1.0,1.0,False,1.0,1.0,1.0,1.0,True
CLIP_0ABDA4,2.804,,1.0,,,0.0,1.0,1.0,minor delay in taking the turn,A,20_RT,2,Q3,Animal,Squirrel,Not_Applicable,1,0,30.49,35.11,32.49,34.11,39.4,2.804,,False,0.8039999999999998,1.0,0.0,1.0,1.0,False,1.0,0.0,1.0,0.0,True
CLIP_0C6813,3.434,,0.0,,,0.0,,0.0,slowed down,C,35_RT,2,Q1,Name,Name1,Visual_Search,0,0,8.72,15.84,10.72,14.84,,3.434,,False,1.4340000000000002,0.0,0.0,,0.0,False,0.0,0.0,0.0,0.0,False
CLIP_11393F,2.420,,1.0,,,1.0,1.0,1.0,"fast approach (5mph), delayed taking the turn",D,33_RT,3,Q3,Sign,Markings,Not_Applicable,0,0,20.76,26.08,22.76,25.08,,2.42,,False,0.4199999999999999,1.0,1.0,1.0,1.0,False,1.0,1.0,1.0,1.0,True
CLIP_156AFE,,0,0.0,,,0.0,0.0,1.0,minor delay in taking the turn,A,04_RT,2,Q3,Animal,Squirrel,Not_Applicable,1,0,48.2,52.36,50.2,51.36,56.98,,0.0,False,,0.0,0.0,0.0,1.0,True,0.0,0.0,1.0,0.0,True
CLIP_159857,,,0.0,,,0.0,,0.0,Name from working memory,C,07_RT,2,Q1,Name,Name1,Working_Memory,0,0,10.51,14.73,12.51,13.73,,,,False,,0.0,0.0,,0.0,False,0.0,0.0,0.0,0.0,False
