Participant_ID,Route_ID,Event,Question_Type,Specific_Target,Confidence,Driving_Years_Num,Video_Game_Years_Num,Age_Num,Driving_Hours_Num,Video_Game_Hours_Num,Experienced_Lag_Bin,Subjective_Mental_Demand_Num,Gender_Female,Gender_Male,Before_Blink_Rate_BPM,During_Blink_Rate_BPM,Before_Disrupted,During_Disrupted,Before_Duration_s,Before_Fine_SRR,During_Fine_SRR,Before_Hazard_Encountered,During_Hazard_Encountered,Before_Major_SRR,During_Major_SRR,Before_Max_Brake,During_Max_Brake,Before_Mean_Abs_Steering,During_Mean_Abs_Steering,Before_Mean_Brake,During_Mean_Brake,Before_Mean_Saccadic_Velocity,During_Mean_Saccadic_Velocity,Before_Mean_Speed_mph,During_Mean_Speed_mph,Before_Mean_Steering,During_Mean_Steering,Before_Mean_Throttle,During_Mean_Throttle,Before_Saccade_Rate_Hz,During_Saccade_Rate_Hz,Before_Speed_Variance,During_Speed_Variance,Before_Steer_Variance,During_Steer_Variance,Before_TRR,During_TRR,Before_Zero_Throttle_Pct,During_Zero_Throttle_Pct,Target_Accuracy,Target_Latency,Target_Confidence,Target_Severe_Overload,Before_Scanpath_Rate_px_s,During_Scanpath_Rate_px_s,Before_Raw_Dwell_Target_Object,During_Raw_Dwell_Target_Object,Before_Raw_Dwell_Animal_Distractor,During_Raw_Dwell_Animal_Distractor,Before_Raw_Dwell_speed_Distractor,During_Raw_Dwell_speed_Distractor,Before_Raw_Dwell_cone_Distractor,During_Raw_Dwell_cone_Distractor,Before_Raw_Dwell_name_Distractor,During_Raw_Dwell_name_Distractor,Before_Raw_Dwell_lwheel_Distractor,During_Raw_Dwell_lwheel_Distractor,Before_Raw_Dwell_map_Distractor,During_Raw_Dwell_map_Distractor,Before_Raw_Dwell_bumper_Distractor,During_Raw_Dwell_bumper_Distractor,Before_Raw_Dwell_Sign_Distractor,During_Raw_Dwell_Sign_Distractor,Before_Raw_Dwell_rwheel_Distractor,During_Raw_Dwell_rwheel_Distractor,Before_Road_Gaze_Pct,During_Road_Gaze_Pct,Target_Category,Name_Recall_Strategy,Delta_Blink_Rate_BPM,Delta_Disrupted,Delta_Fine_SRR,Delta_Hazard_Encountered,Delta_Major_SRR,Delta_Max_Brake,Delta_Mean_Abs_Steering,Delta_Mean_Brake,Delta_Mean_Saccadic_Velocity,Delta_Mean_Speed_mph,Delta_Mean_Steering,Delta_Mean_Throttle,Delta_Saccade_Rate_Hz,Delta_Speed_Variance,Delta_Steer_Variance,Delta_TRR,Delta_Zero_Throttle_Pct,Delta_Scanpath_Rate_px_s,Delta_Raw_Dwell_Target_Object,Delta_Raw_Dwell_Animal_Distractor,Delta_Raw_Dwell_speed_Distractor,Delta_Raw_Dwell_cone_Distractor,Delta_Raw_Dwell_name_Distractor,Delta_Raw_Dwell_lwheel_Distractor,Delta_Raw_Dwell_map_Distractor,Delta_Raw_Dwell_bumper_Distractor,Delta_Raw_Dwell_Sign_Distractor,Delta_Raw_Dwell_rwheel_Distractor,Delta_Road_Gaze_Pct,Prev_Q_After_Blink_Count,Prev_Q_After_Blink_Rate_BPM,Prev_Q_After_Disrupted,Prev_Q_After_Duration_s,Prev_Q_After_Fine_SRR,Prev_Q_After_Fix_Dwell_Animal,Prev_Q_After_Fix_Dwell_Sign,Prev_Q_After_Fix_Dwell_bumper,Prev_Q_After_Fix_Dwell_cone,Prev_Q_After_Fix_Dwell_lwheel,Prev_Q_After_Fix_Dwell_map,Prev_Q_After_Fix_Dwell_name,Prev_Q_After_Fix_Dwell_rwheel,Prev_Q_After_Fix_Dwell_speed,Prev_Q_After_Hazard_Encountered,Prev_Q_After_Major_SRR,Prev_Q_After_Max_Brake,Prev_Q_After_Mean_Abs_Steering,Prev_Q_After_Mean_Brake,Prev_Q_After_Mean_Saccadic_Velocity,Prev_Q_After_Mean_Speed_mph,Prev_Q_After_Mean_Steering,Prev_Q_After_Mean_Throttle,Prev_Q_After_Raw_Dwell_Animal,Prev_Q_After_Raw_Dwell_Sign,Prev_Q_After_Raw_Dwell_bumper,Prev_Q_After_Raw_Dwell_cone,Prev_Q_After_Raw_Dwell_lwheel,Prev_Q_After_Raw_Dwell_map,Prev_Q_After_Raw_Dwell_name,Prev_Q_After_Raw_Dwell_rwheel,Prev_Q_After_Raw_Dwell_speed,Prev_Q_After_Saccade_Count,Prev_Q_After_Saccade_Rate_Hz,Prev_Q_After_Scanpath_Length_px,Prev_Q_After_Speed_Variance,Prev_Q_After_Steer_Variance,Prev_Q_After_TRR,Prev_Q_After_Zero_Throttle_Pct,Prev_Q_Target_Accuracy,Prev_Q_Target_Latency,Prev_Q_Target_Confidence,Prev_Q_Target_Severe_Overload,Target_Post_Q_Collision
01_RT,1,Q1,Animal,Fox,1,10.0,7.0,3,4,0,1,83,0,1,0.0,0.0,0,0,5.0,0.2,0.0,0,0,0.2,0.0,0.0,0.0,0.565,1.0,0.0,0.0,2461.65,2267.24,1.8,2.3,-0.565,-1.0,0.347,0.471,1.4,1.28,1.197,1.072,0.17011,0.0,0.4,0.638,36.4,6.0,0,3.137,1,1,145.856,156.78673892253744,0.166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.151,0.0,0.0,0.0,0.0,0.0,0.9366,1.0,External_Hazard,Not_Applicable,0.0,0,-0.2,0,-0.2,0.0,0.43500000000000005,0.0,-194.4100000000003,0.4999999999999998,-0.43500000000000005,0.124,-0.11999999999999988,-0.125,-0.17011,0.238,-30.4,10.930738922537444,-0.166,0.0,0.0,0.0,0.0,0.0,0.0,-0.151,0.0,0.0,0.06340000000000001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
01_RT,1,Q2,Speed,Speed1,2,10.0,7.0,3,4,0,1,83,0,1,0.0,0.0,0,0,5.0,0.0,0.319,0,0,0.0,0.0,0.0,0.0,1.0,0.7347,0.0,0.0,2158.22,1767.42,1.4,2.0,-1.0,-0.3304,0.312,0.076,2.4,3.19,0.239,0.42,0.0,0.5251,0.2,0.638,44.1,76.8,1,3.137,2,0,204.304,271.76920624800766,0.0,0.509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8377430666241632,External_Hazard,Not_Applicable,0.0,0,0.319,0,0.0,0.0,-0.2653,0.0,-390.7999999999997,0.6000000000000001,0.6696,-0.236,0.79,0.181,0.5251,0.438,32.699999999999996,67.46520624800766,0.509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1622569333758368,0.0,0.0,0.0,5.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.7195,0.0,2380.72,2.1,-0.7195,0.113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,3.2,1862.83,0.873,0.08256,0.4,64.5,0.0,3.137,1.0,1.0,0
01_RT,1,Q3,Sign,FrogS,6,10.0,7.0,3,4,0,1,83,0,1,0.0,0.0,0,0,5.0,0.4,0.0,0,0,0.2,0.0,0.0,0.0,0.8728,1.0,0.0,0.0,1670.16,1314.83,2.4,1.5,0.8229,1.0,0.426,0.2,2.2,0.75,0.823,0.352,0.16062,0.0,0.4,0.187,50.3,52.2,1,5.334,6,0,138.23,18.30708661417323,0.0,1.858,0.271,0.173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.509,0.0,0.0,0.0,0.0,0.0,0.844,0.6192350956130483,External_Hazard,Not_Applicable,0.0,0,-0.4,0,-0.2,0.0,0.12719999999999998,0.0,-355.33000000000015,-0.8999999999999999,0.17710000000000004,-0.22599999999999998,-1.4500000000000002,-0.471,-0.16062,-0.21300000000000002,1.9000000000000057,-119.92291338582676,1.858,-0.09800000000000003,0.0,0.0,0.0,0.0,0.0,-0.509,0.0,0.0,-0.22476490438695162,0.0,0.0,0.0,5.0,0.0,0.812,0.969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1261.82,2.5,1.0,0.366,0.443,0.986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.6,248.97,0.637,0.0,0.2,53.7,1.0,3.137,2.0,0.0,1
02_RT,1,Q1,Animal,Fox,6,1.0,10.0,1,5,2,0,23,0,1,0.0,0.0,0,0,5.0,0.2,0.0,0,0,0.2,0.0,0.0,0.0,0.5082,0.8726,0.0,0.0,2956.26,2124.75,0.8,1.8,-0.5064,-0.8726,0.389,0.115,2.6,1.51,0.311,0.317,0.11197,0.00603,0.4,0.301,44.0,76.2,1,3.32,6,0,351.83000000000004,129.17168674698797,0.0,0.725,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.377,0.0,0.488,0.0,0.0,0.0,0.0,0.0,0.741,0.7816265060240963,External_Hazard,Not_Applicable,0.0,0,-0.2,0,-0.2,0.0,0.36440000000000006,0.0,-831.5100000000002,1.0,-0.3662000000000001,-0.274,-1.09,0.006000000000000005,-0.10594,-0.09900000000000003,32.2,-222.65831325301207,0.725,0.0,-0.43,0.0,0.0,0.0,-0.377,-0.488,0.0,0.0,0.04062650602409634,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
02_RT,1,Q2,Speed,Speed1,2,1.0,10.0,1,5,2,0,23,0,1,0.0,0.0,0,0,5.0,0.2,0.0,0,0,0.2,0.0,0.0,0.0,0.7008,1.0,0.0,0.0,3211.11,2298.19,0.7,0.6,-0.7008,-1.0,0.238,0.076,2.4,2.94,0.274,0.258,0.09969,0.0,0.4,0.84,34.2,60.3,1,2.38,2,1,398.692,313.62605042016804,0.784,0.139,0.0,0.0,0.0,0.0,0.765,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.143,0.0,0.0,0.031,0.15,0.664,0.5537815126050419,External_Hazard,Not_Applicable,0.0,0,-0.2,0,-0.2,0.0,0.2992,0.0,-912.9200000000001,-0.09999999999999998,-0.2992,-0.16199999999999998,0.54,-0.016000000000000014,-0.09969,0.43999999999999995,26.099999999999994,-85.06594957983197,-0.645,0.0,0.0,-0.135,0.0,0.0,0.0,0.04299999999999998,0.0,0.119,-0.1102184873949581,1.0,12.0,0.0,5.0,0.2,1.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.7498,0.0,2646.27,1.4,-0.7498,0.156,0.998,0.032,0.0,0.0,0.0,0.03,0.0,0.0,0.0,8.0,1.6,876.62,0.379,0.05841,0.4,68.9,1.0,3.32,6.0,0.0,0
02_RT,1,Q3,Sign,FrogS,5,1.0,10.0,1,5,2,0,23,0,1,12.0,0.0,0,0,5.0,0.4,0.0,0,1,0.2,0.0,0.0,0.0,0.4717,1.0,0.0,0.0,3029.68,2801.38,1.3,0.9,0.4523,1.0,0.271,0.282,2.4,2.36,0.798,0.641,0.11626,0.0,0.4,0.498,32.4,42.3,0,8.04,5,1,340.966,316.57338308457713,0.0,0.0,0.0,0.163,0.203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.191,0.276,0.0,0.0,0.332,0.176,0.8548,0.9235074626865671,External_Hazard,Not_Applicable,-12.0,0,-0.4,1,-0.2,0.0,0.5283,0.0,-228.29999999999973,-0.4,0.5477000000000001,0.010999999999999954,-0.040000000000000036,-0.15700000000000003,-0.11626,0.09799999999999998,9.899999999999999,-24.392616915422877,0.0,0.163,-0.203,0.0,0.0,0.0,0.0,0.08500000000000002,0.0,-0.15600000000000003,0.06870746268656713,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.648,0.704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8962,0.0,3379.41,1.9,-0.8962,0.394,0.0,0.0,0.304,0.099,0.0,0.0,0.0,0.107,0.0,14.0,2.8,2279.28,0.89,0.01412,0.2,42.7,1.0,2.38,2.0,1.0,0
03_RT,1,Q1,Animal,Fox,7,6.0,1.0,1,2,0,0,79,1,0,60.0,29.24,0,0,5.0,0.2,0.487,0,0,0.2,0.0,0.0,0.0,0.8089,0.6506,0.0,0.0,2396.22,1625.37,1.9,1.9,-0.8089,-0.6506,0.142,0.132,3.2,0.97,0.082,0.022,0.03508,0.00154,0.0,0.0,0.0,0.0,1,2.052,7,0,326.882,100.48732943469784,0.0,0.389,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.324,0.0,0.0,0.0,0.316,0.0,0.8,0.8104288499025342,External_Hazard,Not_Applicable,-30.76,0,0.287,0,-0.2,0.0,-0.1583,0.0,-770.8499999999999,0.0,0.1583,-0.009999999999999981,-2.2300000000000004,-0.060000000000000005,-0.03354,0.0,0.0,-226.39467056530216,0.389,0.0,-0.36,0.0,0.0,0.0,0.0,-0.324,0.0,-0.316,0.01042884990253412,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
03_RT,1,Q2,Speed,Speed1,1,6.0,1.0,1,2,0,0,79,1,0,48.0,57.57,0,0,5.0,0.2,0.0,0,0,0.2,0.0,0.0,0.0,0.9797,0.7802,0.0,0.0,3041.55,2629.95,1.5,1.0,-0.9797,-0.7802,0.115,0.048,1.4,3.36,0.068,0.085,0.00261,0.0175,0.0,0.0,12.2,60.0,1,2.085,1,1,232.734,425.9664268585132,0.0,0.215,0.0,0.0,0.0,0.0,0.112,0.0,0.0,0.0,0.0,0.0,0.467,0.0,0.093,0.334,0.0,0.0,0.199,0.0,0.8257999999999999,0.7366906474820144,External_Hazard,Not_Applicable,9.57,0,-0.2,0,-0.2,0.0,-0.1995,0.0,-411.60000000000036,-0.5,0.1995,-0.067,1.96,0.017,0.014890000000000002,0.0,47.8,193.2324268585132,0.215,0.0,0.0,-0.112,0.0,0.0,-0.467,0.24100000000000002,0.0,-0.199,-0.08910935251798546,5.0,60.0,0.0,5.0,0.2,0.382,0.382,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.9465,0.0,3065.31,1.4,-0.9465,0.086,0.419,0.0,0.24,0.0,0.032,0.0,0.0,0.277,0.0,11.0,2.2,1811.04,0.277,0.01041,0.4,31.9,1.0,2.052,7.0,0.0,0
03_RT,1,Q3,Sign,FrogS,4,6.0,1.0,1,2,0,0,79,1,0,24.0,37.71,0,0,5.0,0.2,0.314,0,0,0.0,0.314,0.0,0.0,0.9184,0.9019,0.0,0.0,3084.92,3069.05,1.8,1.6,0.9184,0.9019,0.128,0.054,2.2,1.26,0.061,0.348,0.01099,0.02001,0.0,0.0,0.1,52.0,1,3.182,4,0,261.226,263.0075424261471,0.0,0.04,0.584,0.41,0.168,0.032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.831,0.125,0.0,0.0,0.0,0.0,0.6834,0.8092394720301698,External_Hazard,Not_Applicable,13.71,0,0.11399999999999999,0,0.314,0.0,-0.01649999999999996,0.0,-15.86999999999989,-0.19999999999999996,-0.01649999999999996,-0.07400000000000001,-0.9400000000000002,0.287,0.00902,0.0,51.9,1.781542426147098,0.04,-0.174,-0.136,0.0,0.0,0.0,0.0,-0.706,0.0,0.0,0.12583947203016976,1.0,12.0,0.0,5.0,0.0,0.0,0.0,0.412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5347,0.0,2504.72,1.4,0.4414,0.123,0.0,0.0,0.564,0.0,0.0,0.0,0.0,0.0,0.072,11.0,2.2,1100.75,0.096,0.22066,0.0,0.0,1.0,2.085,1.0,1.0,0
04_RT,1,Q1,Animal,Fox,4,5.0,10.0,1,4,0,0,67,1,0,0.0,0.0,0,0,5.0,0.2,0.0,0,0,0.2,0.0,0.0,0.0,0.9456,0.9335,0.0,0.0,2855.48,2615.51,1.4,1.6,-0.9456,-0.9335,0.116,0.0,2.8,0.77,0.288,0.282,0.013,0.00514,0.4,0.0,32.5,100.0,1,2.6,4,0,375.854,44.27307692307692,0.0,0.272,0.0,0.0,0.359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.085,0.0,0.0,0.0,0.127,0.0,0.8657999999999999,0.8953846153846154,External_Hazard,Not_Applicable,0.0,0,-0.2,0,-0.2,0.0,-0.0121,0.0,-239.9699999999998,0.20000000000000018,0.0121,-0.116,-2.03,-0.006000000000000005,-0.007859999999999999,-0.4,67.5,-331.58092307692306,0.272,0.0,-0.359,0.0,0.0,0.0,-0.1,-0.085,0.0,-0.127,0.029584615384615542,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
