Participant_ID,Route_ID,Event,Question_Type,Specific_Target,Confidence,Driving_Years_Num,Video_Game_Years_Num,Age_Num,Driving_Hours_Num,Video_Game_Hours_Num,Experienced_Lag_Bin,Subjective_Mental_Demand_Num,Gender_Female,Gender_Male,Before_Blink_Rate_BPM,During_Blink_Rate_BPM,Before_Disrupted,During_Disrupted,Before_Duration_s,Before_Fine_SRR,During_Fine_SRR,Before_Hazard_Encountered,During_Hazard_Encountered,Before_Major_SRR,During_Major_SRR,Before_Max_Brake,During_Max_Brake,Before_Mean_Abs_Steering,During_Mean_Abs_Steering,Before_Mean_Brake,During_Mean_Brake,Before_Mean_Saccadic_Velocity,During_Mean_Saccadic_Velocity,Before_Mean_Speed_mph,During_Mean_Speed_mph,Before_Mean_Steering,During_Mean_Steering,Before_Mean_Throttle,During_Mean_Throttle,Before_Saccade_Rate_Hz,During_Saccade_Rate_Hz,Before_Speed_Variance,During_Speed_Variance,Before_Steer_Variance,During_Steer_Variance,Before_TRR,During_TRR,Before_Zero_Throttle_Pct,During_Zero_Throttle_Pct,Target_Accuracy,Target_Latency,Target_Confidence,Target_Severe_Overload,Before_Scanpath_Rate_px_s,During_Scanpath_Rate_px_s,Before_Raw_Dwell_Target_Object,During_Raw_Dwell_Target_Object,Before_Raw_Dwell_cone_Distractor,During_Raw_Dwell_cone_Distractor,Before_Raw_Dwell_Animal_Distractor,During_Raw_Dwell_Animal_Distractor,Before_Raw_Dwell_r2_Distractor,During_Raw_Dwell_r2_Distractor,Before_Raw_Dwell_rwheel_Distractor,During_Raw_Dwell_rwheel_Distractor,Before_Raw_Dwell_lwheel_Distractor,During_Raw_Dwell_lwheel_Distractor,Before_Raw_Dwell_name_Distractor,During_Raw_Dwell_name_Distractor,Before_Raw_Dwell_map_Distractor,During_Raw_Dwell_map_Distractor,Before_Raw_Dwell_bumper_Distractor,During_Raw_Dwell_bumper_Distractor,Before_Raw_Dwell_Sign_Distractor,During_Raw_Dwell_Sign_Distractor,Before_Raw_Dwell_speed_Distractor,During_Raw_Dwell_speed_Distractor,Before_Road_Gaze_Pct,During_Road_Gaze_Pct,Target_Category,Name_Recall_Strategy,Delta_Blink_Rate_BPM,Delta_Disrupted,Delta_Fine_SRR,Delta_Hazard_Encountered,Delta_Major_SRR,Delta_Max_Brake,Delta_Mean_Abs_Steering,Delta_Mean_Brake,Delta_Mean_Saccadic_Velocity,Delta_Mean_Speed_mph,Delta_Mean_Steering,Delta_Mean_Throttle,Delta_Saccade_Rate_Hz,Delta_Speed_Variance,Delta_Steer_Variance,Delta_TRR,Delta_Zero_Throttle_Pct,Delta_Scanpath_Rate_px_s,Delta_Raw_Dwell_Target_Object,Delta_Raw_Dwell_cone_Distractor,Delta_Raw_Dwell_Animal_Distractor,Delta_Raw_Dwell_r2_Distractor,Delta_Raw_Dwell_rwheel_Distractor,Delta_Raw_Dwell_lwheel_Distractor,Delta_Raw_Dwell_name_Distractor,Delta_Raw_Dwell_map_Distractor,Delta_Raw_Dwell_bumper_Distractor,Delta_Raw_Dwell_Sign_Distractor,Delta_Raw_Dwell_speed_Distractor,Delta_Road_Gaze_Pct,Prev_Q_After_Blink_Count,Prev_Q_After_Blink_Rate_BPM,Prev_Q_After_Disrupted,Prev_Q_After_Duration_s,Prev_Q_After_Fine_SRR,Prev_Q_After_Fix_Dwell_Animal,Prev_Q_After_Fix_Dwell_Sign,Prev_Q_After_Fix_Dwell_bumper,Prev_Q_After_Fix_Dwell_cone,Prev_Q_After_Fix_Dwell_lwheel,Prev_Q_After_Fix_Dwell_map,Prev_Q_After_Fix_Dwell_name,Prev_Q_After_Fix_Dwell_r2,Prev_Q_After_Fix_Dwell_rwheel,Prev_Q_After_Fix_Dwell_speed,Prev_Q_After_Hazard_Encountered,Prev_Q_After_Major_SRR,Prev_Q_After_Max_Brake,Prev_Q_After_Mean_Abs_Steering,Prev_Q_After_Mean_Brake,Prev_Q_After_Mean_Saccadic_Velocity,Prev_Q_After_Mean_Speed_mph,Prev_Q_After_Mean_Steering,Prev_Q_After_Mean_Throttle,Prev_Q_After_Raw_Dwell_Animal,Prev_Q_After_Raw_Dwell_Sign,Prev_Q_After_Raw_Dwell_bumper,Prev_Q_After_Raw_Dwell_cone,Prev_Q_After_Raw_Dwell_lwheel,Prev_Q_After_Raw_Dwell_map,Prev_Q_After_Raw_Dwell_name,Prev_Q_After_Raw_Dwell_r2,Prev_Q_After_Raw_Dwell_rwheel,Prev_Q_After_Raw_Dwell_speed,Prev_Q_After_Saccade_Count,Prev_Q_After_Saccade_Rate_Hz,Prev_Q_After_Scanpath_Length_px,Prev_Q_After_Speed_Variance,Prev_Q_After_Steer_Variance,Prev_Q_After_TRR,Prev_Q_After_Zero_Throttle_Pct,Prev_Q_Target_Accuracy,Prev_Q_Target_Latency,Prev_Q_Target_Confidence,Prev_Q_Target_Severe_Overload,Target_Post_Q_Collision
01_RT,2,Q1,Name,Name1,7,10.0,7.0,3,4,0,1,50,0,1,12.0,0.0,0,0,5.0,0.2,0.345,0,0,0.2,0.345,0.0,0.0,0.8979,0.9627,0.0,0.0,2103.08,1947.52,2.2,1.9,0.8979,0.9627,0.194,0.346,1.6,1.72,0.929,0.282,0.0237,0.00649,0.4,0.345,38.7,33.2,1,2.9,7,0,100.0,118.76206896551726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,Dashboard_Recall,Working_Memory,-12.0,0,0.14499999999999996,0,0.14499999999999996,0.0,0.06479999999999997,0.0,-155.55999999999995,-0.30000000000000027,0.06479999999999997,0.15199999999999997,0.11999999999999988,-0.647,-0.01721,-0.05500000000000005,-5.5,18.76206896551726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
01_RT,2,Q2,Sign,Blind,7,10.0,7.0,3,4,0,1,50,0,1,0.0,0.0,0,0,5.0,0.4,0.0,0,0,0.2,0.0,0.0,0.0,0.7057,0.4261,0.0,0.0,1999.5,2735.92,3.3,3.4,0.1881,0.4261,0.268,0.135,1.2,0.89,0.687,0.194,0.55002,0.0507,0.4,0.444,36.0,47.0,1,2.25,7,0,93.53999999999999,102.81777777777778,0.228,0.679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9544,0.6982222222222222,External_Hazard,Not_Applicable,0.0,0,-0.4,0,-0.2,0.0,-0.2796,0.0,736.4200000000001,0.10000000000000009,0.238,-0.133,-0.30999999999999994,-0.49300000000000005,-0.49931999999999993,0.043999999999999984,11.0,9.277777777777786,0.45100000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.25617777777777784,0.0,0.0,0.0,5.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.2,0.0,0.671,0.0,2085.55,3.3,0.1627,0.258,0.0,0.378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,425.31,0.685,0.5228,0.4,36.0,1.0,2.9,7.0,0.0,0
01_RT,2,Q3,Animal,Squirrel,1,10.0,7.0,3,4,0,1,50,0,1,0.0,0.0,0,0,5.0,0.0,0.483,0,1,0.0,0.242,0.0,0.0,0.9926,0.8662,0.0,0.0,1741.42,1619.81,2.9,2.1,0.9926,0.8662,0.218,0.135,1.8,0.72,0.588,0.728,0.00026,0.04052,0.4,0.483,31.3,62.1,0,4.14,1,1,99.182,33.94927536231884,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,1.0,0.9251207729468599,External_Hazard,Not_Applicable,0.0,0,0.483,1,0.242,0.0,-0.12640000000000007,0.0,-121.61000000000013,-0.7999999999999998,-0.12640000000000007,-0.08299999999999999,-1.08,0.14,0.04026,0.08299999999999996,30.8,-65.23272463768116,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,-0.0748792270531401,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1798.87,2.7,1.0,0.173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.6,451.95,0.651,0.0,0.4,37.5,1.0,2.25,7.0,0.0,0
02_RT,2,Q1,Name,Name1,1,1.0,10.0,1,5,2,0,42,0,1,0.0,0.0,0,0,5.0,0.0,0.227,0,1,0.0,0.0,0.0,0.0,1.0,0.8882,0.0,0.0,2187.74,2485.98,1.2,1.1,1.0,0.8882,0.069,0.093,3.0,2.5,0.21,0.324,0.0,0.03686,0.4,0.455,56.8,46.7,0,4.4,1,1,304.526,255.66363636363636,0.0,0.0,0.0,0.274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.583,0.0,0.0,0.0,0.0,0.0,0.8834,0.9377272727272727,Dashboard_Recall,Working_Memory,0.0,0,0.227,1,0.0,0.0,-0.11180000000000001,0.0,298.24000000000024,-0.09999999999999987,-0.11180000000000001,0.023999999999999994,-0.5,0.11400000000000002,0.03686,0.05499999999999999,-10.099999999999994,-48.86236363636365,0.0,0.274,0.0,0.0,0.0,0.0,0.0,0.0,-0.583,0.0,0.0,0.05432727272727278,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
02_RT,2,Q2,Sign,Blind,7,1.0,10.0,1,5,2,0,42,0,1,12.0,0.0,0,0,5.0,0.4,0.0,0,0,0.0,0.0,0.0,0.0,0.0413,0.2369,0.0,0.0,2462.44,3031.37,1.5,1.9,0.0279,0.2369,0.172,0.055,3.4,3.57,0.392,0.068,0.00249,0.00272,0.2,0.0,0.0,55.7,1,1.68,7,0,391.416,520.9285714285714,0.042,0.034,0.0,0.0,0.432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.196,0.239,0.0,0.0,0.0,0.0,0.866,0.8375,External_Hazard,Not_Applicable,-12.0,0,-0.4,0,0.0,0.0,0.1956,0.0,568.9299999999998,0.3999999999999999,0.209,-0.11699999999999999,0.16999999999999993,-0.324,0.00023000000000000017,-0.2,55.7,129.51257142857145,-0.008,0.0,-0.432,0.0,0.0,0.0,0.0,0.0,0.04299999999999998,0.0,0.0,-0.02849999999999997,0.0,0.0,0.0,5.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0784,0.0,2689.96,0.7,-0.0784,0.0,0.068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,556.41,0.164,0.00169,0.0,100.0,0.0,4.4,1.0,1.0,0
02_RT,2,Q3,Animal,Squirrel,5,1.0,10.0,1,5,2,0,42,0,1,0.0,53.38,0,0,5.0,0.2,0.178,0,1,0.0,0.089,0.0,0.0,0.9209,0.9033,0.0,0.0,2809.81,3073.64,1.7,0.4,0.9209,0.886,0.088,0.041,3.6,1.33,0.287,0.207,0.02027,0.08697,0.4,0.178,67.0,57.0,1,11.24,5,1,587.298,108.644128113879,0.0,4.991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.133,0.0,0.164,0.0,0.0,0.507,0.0,0.167,0.303,0.0,0.181,0.232,0.37,0.8188000000000001,0.45355871886121,External_Hazard,Not_Applicable,53.38,0,-0.02200000000000002,1,0.089,0.0,-0.01760000000000006,0.0,263.8299999999999,-1.2999999999999998,-0.03490000000000004,-0.04699999999999999,-2.27,-0.07999999999999999,0.06670000000000001,-0.22200000000000003,-10.0,-478.653871886121,4.991,0.0,0.0,0.0,0.133,0.164,0.0,-0.507,0.13599999999999998,0.181,0.13799999999999998,-0.36524128113879006,2.0,24.0,0.0,5.0,0.4,0.0,0.0,0.156,0.0,0.076,0.0,0.0,NaN,0.0,0.0,0.0,0.2,0.0,0.7708,0.0,2850.39,2.3,0.7708,0.273,0.0,0.0,0.209,0.0,0.139,0.0,0.0,0.0,0.0,0.0,9.0,1.8,1199.45,1.267,0.00203,0.4,33.7,1.0,1.68,7.0,0.0,0
03_RT,2,Q1,Name,Name1,7,6.0,1.0,1,2,0,0,68,1,0,48.0,41.77,0,0,5.0,0.2,0.0,0,1,0.2,0.0,0.0,0.0,0.7569,1.0,0.0,0.0,3112.43,2912.23,1.9,1.5,0.7569,1.0,0.124,0.136,2.0,2.44,0.06,0.045,0.02086,0.0,0.0,0.0,0.0,0.0,1,2.873,7,0,287.298,410.3898364079359,0.0,0.257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.105,0.364,0.036,0.0,0.0,0.0,0.0,0.9272,0.8614688478941872,Dashboard_Recall,Visual_Search,-6.229999999999997,0,-0.2,1,-0.2,0.0,0.24309999999999998,0.0,-200.19999999999982,-0.3999999999999999,0.24309999999999998,0.01200000000000001,0.43999999999999995,-0.015,-0.02086,0.0,0.0,123.09183640793589,0.257,0.0,0.0,0.0,0.0,0.0,0.0,0.105,-0.328,0.0,0.0,-0.06573115210581282,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
03_RT,2,Q2,Sign,Blind,6,6.0,1.0,1,2,0,0,68,1,0,48.0,71.54,0,0,5.0,0.2,0.0,0,0,0.0,0.0,0.0,0.0,0.0762,0.7963,0.0,0.0,3048.12,3426.02,1.9,1.6,0.0631,0.7963,0.123,0.1,3.4,2.38,0.014,0.085,0.00821,0.03405,0.0,0.0,0.0,0.0,1,2.516,6,0,513.554,395.44117647058823,0.0,0.039,0.0,0.0,0.17,0.0,0.0,0.0,0.035,0.0,0.0,0.0,0.0,0.0,0.369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8852,0.9844992050874404,External_Hazard,Not_Applicable,23.540000000000006,0,-0.2,0,0.0,0.0,0.7201,0.0,377.9000000000001,-0.2999999999999998,0.7332,-0.022999999999999993,-1.02,0.07100000000000001,0.025839999999999995,0.0,0.0,-118.11282352941174,0.039,0.0,-0.17,0.0,-0.035,0.0,0.0,-0.369,0.0,0.0,0.0,0.09929920508744039,2.0,24.0,0.0,5.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.2,0.0,0.3319,0.0,2233.27,1.8,0.3319,0.118,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.032,0.0,13.0,2.6,1080.34,0.001,0.10345,0.0,0.0,1.0,2.873,7.0,0.0,0
03_RT,2,Q3,Animal,Squirrel,5,6.0,1.0,1,2,0,0,68,1,0,36.0,27.71,0,0,5.0,0.6,0.231,0,0,0.0,0.0,0.0,0.0,0.6224,0.9968,0.0,0.0,2970.8,3562.67,1.0,1.0,0.6224,0.9968,0.082,0.078,1.0,1.62,0.12,0.111,0.00248,6e-05,0.4,0.462,30.0,32.8,1,4.331,5,1,103.88399999999999,269.22881551604706,3.066,2.208,0.0,0.743,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.381,0.0,0.0,0.0,0.0,0.38680000000000003,0.22373585776956828,External_Hazard,Not_Applicable,-8.29,0,-0.369,0,0.0,0.0,0.37440000000000007,0.0,591.8699999999999,0.0,0.37440000000000007,-0.0040000000000000036,0.6200000000000001,-0.008999999999999994,-0.00242,0.062,2.799999999999997,165.34481551604708,-0.8579999999999997,0.743,0.0,0.0,0.03,0.0,0.0,0.0,0.381,0.0,0.0,-0.16306414223043175,3.0,36.0,0.0,5.0,0.4,0.0,0.0,0.0,0.0,0.0,0.705,0.0,NaN,0.0,0.0,0.0,0.2,0.0,0.8266,0.0,3049.17,1.8,0.8266,0.132,0.0,0.0,0.0,0.0,0.0,0.713,0.0,0.0,0.03,0.0,12.0,2.4,1877.28,0.066,0.00298,0.0,0.0,1.0,2.516,6.0,0.0,1
04_RT,2,Q1,Name,Name1,6,5.0,10.0,1,4,0,0,77,1,0,0.0,0.0,0,0,5.0,0.2,0.575,0,0,0.2,0.0,0.0,0.0,0.8867,0.9609,0.0,0.0,2735.52,4300.72,1.7,1.3,0.8867,0.9609,0.099,0.172,2.2,2.87,0.423,0.181,0.01685,9e-05,0.2,0.0,35.2,0.0,1,1.74,6,0,315.786,1200.66091954023,0.0,0.304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.433,0.327,0.0,0.0,0.0,0.0,0.0,0.0,0.9134,0.6373563218390804,Dashboard_Recall,Visual_Search,0.0,0,0.37499999999999994,0,-0.2,0.0,0.07419999999999993,0.0,1565.2000000000003,-0.3999999999999999,0.07419999999999993,0.07299999999999998,0.6699999999999999,-0.242,-0.01676,-0.2,-35.2,884.8749195402299,0.304,0.0,0.0,0.0,0.0,0.0,0.0,-0.10599999999999998,0.0,0.0,0.0,-0.27604367816091957,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
