Participant_ID,Route_ID,Event,Question_Type,Specific_Target,Confidence,Driving_Years_Num,Video_Game_Years_Num,Age_Num,Driving_Hours_Num,Video_Game_Hours_Num,Experienced_Lag_Bin,Subjective_Mental_Demand_Num,Gender_Female,Gender_Male,Before_Blink_Rate_BPM,During_Blink_Rate_BPM,Before_Disrupted,During_Disrupted,Before_Duration_s,Before_Fine_SRR,During_Fine_SRR,Before_Hazard_Encountered,During_Hazard_Encountered,Before_Major_SRR,During_Major_SRR,Before_Max_Brake,During_Max_Brake,Before_Mean_Abs_Steering,During_Mean_Abs_Steering,Before_Mean_Brake,During_Mean_Brake,Before_Mean_Saccadic_Velocity,During_Mean_Saccadic_Velocity,Before_Mean_Speed_mph,During_Mean_Speed_mph,Before_Mean_Steering,During_Mean_Steering,Before_Mean_Throttle,During_Mean_Throttle,Before_Saccade_Rate_Hz,During_Saccade_Rate_Hz,Before_Speed_Variance,During_Speed_Variance,Before_Steer_Variance,During_Steer_Variance,Before_TRR,During_TRR,Before_Zero_Throttle_Pct,During_Zero_Throttle_Pct,Target_Accuracy,Target_Latency,Target_Confidence,Target_Severe_Overload,Before_Scanpath_Rate_px_s,During_Scanpath_Rate_px_s,Before_Raw_Dwell_Target_Object,During_Raw_Dwell_Target_Object,Before_Raw_Dwell_map_Distractor,During_Raw_Dwell_map_Distractor,Before_Raw_Dwell_bumper_Distractor,During_Raw_Dwell_bumper_Distractor,Before_Raw_Dwell_rwheel_Distractor,During_Raw_Dwell_rwheel_Distractor,Before_Raw_Dwell_Sign_Distractor,During_Raw_Dwell_Sign_Distractor,Before_Raw_Dwell_name_Distractor,During_Raw_Dwell_name_Distractor,Before_Raw_Dwell_speed_Distractor,During_Raw_Dwell_speed_Distractor,Before_Raw_Dwell_lwheel_Distractor,During_Raw_Dwell_lwheel_Distractor,Before_Raw_Dwell_Animal_Distractor,During_Raw_Dwell_Animal_Distractor,Before_Road_Gaze_Pct,During_Road_Gaze_Pct,Target_Category,Name_Recall_Strategy,Delta_Blink_Rate_BPM,Delta_Disrupted,Delta_Fine_SRR,Delta_Hazard_Encountered,Delta_Major_SRR,Delta_Max_Brake,Delta_Mean_Abs_Steering,Delta_Mean_Brake,Delta_Mean_Saccadic_Velocity,Delta_Mean_Speed_mph,Delta_Mean_Steering,Delta_Mean_Throttle,Delta_Saccade_Rate_Hz,Delta_Speed_Variance,Delta_Steer_Variance,Delta_TRR,Delta_Zero_Throttle_Pct,Delta_Scanpath_Rate_px_s,Delta_Raw_Dwell_Target_Object,Delta_Raw_Dwell_map_Distractor,Delta_Raw_Dwell_bumper_Distractor,Delta_Raw_Dwell_rwheel_Distractor,Delta_Raw_Dwell_Sign_Distractor,Delta_Raw_Dwell_name_Distractor,Delta_Raw_Dwell_speed_Distractor,Delta_Raw_Dwell_lwheel_Distractor,Delta_Raw_Dwell_Animal_Distractor,Delta_Road_Gaze_Pct,Prev_Q_After_Blink_Count,Prev_Q_After_Blink_Rate_BPM,Prev_Q_After_Disrupted,Prev_Q_After_Duration_s,Prev_Q_After_Fine_SRR,Prev_Q_After_Fix_Dwell_Animal,Prev_Q_After_Fix_Dwell_Sign,Prev_Q_After_Fix_Dwell_bumper,Prev_Q_After_Fix_Dwell_lwheel,Prev_Q_After_Fix_Dwell_map,Prev_Q_After_Fix_Dwell_name,Prev_Q_After_Fix_Dwell_rwheel,Prev_Q_After_Fix_Dwell_speed,Prev_Q_After_Hazard_Encountered,Prev_Q_After_Major_SRR,Prev_Q_After_Max_Brake,Prev_Q_After_Mean_Abs_Steering,Prev_Q_After_Mean_Brake,Prev_Q_After_Mean_Saccadic_Velocity,Prev_Q_After_Mean_Speed_mph,Prev_Q_After_Mean_Steering,Prev_Q_After_Mean_Throttle,Prev_Q_After_Raw_Dwell_Animal,Prev_Q_After_Raw_Dwell_Sign,Prev_Q_After_Raw_Dwell_bumper,Prev_Q_After_Raw_Dwell_lwheel,Prev_Q_After_Raw_Dwell_map,Prev_Q_After_Raw_Dwell_name,Prev_Q_After_Raw_Dwell_rwheel,Prev_Q_After_Raw_Dwell_speed,Prev_Q_After_Saccade_Count,Prev_Q_After_Saccade_Rate_Hz,Prev_Q_After_Scanpath_Length_px,Prev_Q_After_Speed_Variance,Prev_Q_After_Steer_Variance,Prev_Q_After_TRR,Prev_Q_After_Zero_Throttle_Pct,Prev_Q_Target_Accuracy,Prev_Q_Target_Latency,Prev_Q_Target_Confidence,Prev_Q_Target_Severe_Overload,Target_Post_Q_Collision
01_RT,3,Q1,Animal,Rabbit,6,10.0,7.0,3,4,0,0,29,0,1,0.0,0.0,0,0,5.0,0.2,0.26,0,0,0.2,0.0,0.0,0.0,0.6554,0.9789,0.0,0.0,1656.65,1151.9,1.6,1.8,-0.6552,-0.9789,0.317,0.134,1.8,0.78,0.985,0.987,0.14986,0.00098,0.8,0.521,2.3,67.3,1,3.84,6,0,91.67,36.4296875,0.0,0.456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8723958333333333,External_Hazard,Not_Applicable,0.0,0,0.06,0,-0.2,0.0,0.3235,0.0,-504.75,0.19999999999999996,-0.3237,-0.183,-1.02,0.0020000000000000018,-0.14887999999999998,-0.279,65.0,-55.2403125,0.456,0.0,0.0,0.0,0.034,0.0,0.0,0.0,0.0,-0.12760416666666674,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
01_RT,3,Q2,Speed,Speed2,7,10.0,7.0,3,4,0,0,29,0,1,0.0,0.0,0,0,5.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.0,0.5766,0.0,0.0,1875.84,1898.55,3.1,3.7,-1.0,-0.4159,0.325,0.103,2.0,1.7,0.537,0.313,0.0,0.28051,0.4,0.426,31.5,62.1,1,2.348,7,0,116.53599999999999,117.22742759795571,0.0,0.302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8713798977853492,External_Hazard,Not_Applicable,0.0,0,0.0,0,0.0,0.0,-0.4234,0.0,22.710000000000036,0.6000000000000001,0.5841000000000001,-0.22200000000000003,-0.30000000000000004,-0.22400000000000003,0.28051,0.025999999999999968,30.6,0.6914275979557232,0.302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1286201022146508,1.0,12.0,0.0,5.0,0.0,0.057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1893.31,3.0,-1.0,0.363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,2.2,650.48,0.653,0.0,0.4,31.5,1.0,3.84,6.0,0.0,0
01_RT,3,Q3,Sign,Markings,1,10.0,7.0,3,4,0,0,29,0,1,0.0,0.0,0,0,5.0,0.6,0.379,0,0,0.4,0.379,0.0,0.0,0.3276,0.9372,0.0,0.0,1839.64,1932.89,3.1,2.1,0.0033,-0.9372,0.329,0.269,1.0,2.28,0.692,0.162,0.15799,0.01273,0.6,0.379,52.7,40.3,0,2.636,1,1,63.67999999999999,222.902124430956,0.0,0.0,0.0,0.0,0.302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.677,0.0,0.8042,1.0,External_Hazard,Not_Applicable,0.0,0,-0.22099999999999997,0,-0.02100000000000002,0.0,0.6096,0.0,93.25,-1.0,-0.9405,-0.06,1.2799999999999998,-0.5299999999999999,-0.14526,-0.22099999999999997,-12.400000000000006,159.222124430956,0.0,0.0,-0.302,0.0,0.0,0.0,0.0,0.0,-0.677,0.19579999999999997,0.0,0.0,0.0,5.0,0.4,3.036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.4617,0.0,2044.0,2.7,-0.293,0.31,0.677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,530.07,0.585,0.23255,0.4,44.8,1.0,2.348,7.0,0.0,0
02_RT,3,Q1,Animal,Rabbit,6,1.0,10.0,1,5,2,0,61,0,1,0.0,0.0,0,0,5.0,0.2,0.0,0,0,0.2,0.0,0.0,0.0,0.8824,0.9999,0.0,0.0,2525.1,3197.58,0.9,1.0,-0.8824,-0.9999,0.147,0.005,3.2,0.37,0.214,0.549,0.01745,0.0,0.2,0.0,19.7,97.6,1,5.43,6,1,389.682,62.72007366482505,0.0,1.622,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.851,0.0,0.0,0.189,0.0,0.0,0.0,0.0,0.0,0.9202,0.5445672191528546,External_Hazard,Not_Applicable,0.0,0,-0.2,0,-0.2,0.0,0.11750000000000005,0.0,672.48,0.09999999999999998,-0.11750000000000005,-0.142,-2.83,0.3350000000000001,-0.01745,-0.2,77.89999999999999,-326.96192633517495,1.622,0.0,-0.21,0.0,0.851,0.0,-0.189,0.0,0.0,-0.37563278084714546,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
02_RT,3,Q2,Speed,Speed2,7,1.0,10.0,1,5,2,0,61,0,1,0.0,0.0,0,0,5.0,0.4,0.0,0,0,0.4,0.0,0.0,0.0,0.682,0.8446,0.0,0.0,2368.65,3180.51,2.0,2.1,-0.682,-0.8446,0.422,0.034,2.0,3.15,0.726,0.147,0.11064,3e-05,0.6,0.0,38.3,45.8,1,1.268,7,0,218.464,519.5347003154574,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7712933753943217,External_Hazard,Not_Applicable,0.0,0,-0.4,0,-0.4,0.0,0.16259999999999997,0.0,811.8600000000001,0.10000000000000009,-0.16259999999999997,-0.388,1.15,-0.579,-0.11061,-0.6,7.5,301.0707003154574,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.22870662460567825,1.0,12.0,0.0,5.0,0.4,3.708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.731,0.0,2305.52,0.6,-0.731,0.175,3.263,0.0,0.0,0.04,0.0,0.0,0.0,0.0,5.0,1.0,366.35,0.363,0.09969,0.4,35.4,1.0,5.43,6.0,1.0,0
02_RT,3,Q3,Sign,Markings,7,1.0,10.0,1,5,2,0,61,0,1,12.0,13.85,0,0,5.0,0.4,0.0,0,0,0.4,0.0,0.0,0.0,0.0901,0.0584,0.0,0.0,2215.01,2519.95,2.1,1.2,-0.078,-0.039,0.241,0.065,0.8,0.46,1.013,0.203,0.00478,0.00308,0.4,0.231,49.5,61.6,1,4.333,7,0,55.67999999999999,21.405492730210014,0.0,0.636,0.0,0.0,0.227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032,0.0,0.0,0.0,0.632,1.557,0.8218,0.4938841449342257,External_Hazard,Not_Applicable,1.8499999999999996,0,-0.4,0,-0.4,0.0,-0.0317,0.0,304.9399999999996,-0.9000000000000001,0.039,-0.176,-0.34,-0.8099999999999998,-0.0017000000000000006,-0.169,12.100000000000001,-34.27450726978998,0.636,0.0,-0.227,0.0,0.0,0.0,-0.032,0.0,0.9249999999999999,-0.32791585506577425,0.0,0.0,0.0,5.0,0.4,0.0,0.0,0.0,0.0,0.476,0.0,0.0,0.048,0.0,0.2,0.0,0.8424,0.0,2158.79,0.5,-0.8424,0.1,0.0,0.0,0.032,0.0,0.504,0.0,0.0,0.074,6.0,1.2,642.27,0.202,0.02785,0.2,72.9,1.0,1.268,7.0,0.0,0
03_RT,3,Q1,Animal,Rabbit,7,6.0,1.0,1,2,0,0,59,1,0,24.0,30.66,0,0,5.0,0.2,0.0,0,0,0.2,0.0,0.0,0.0,0.9625,0.6922,0.0,0.0,2372.78,1969.63,1.5,1.6,-0.9625,-0.6922,0.12,0.128,2.2,1.53,0.069,0.008,0.0063,0.01918,0.0,0.0,7.6,0.0,0,1.957,7,1,219.89600000000002,107.37864077669902,0.0,0.896,0.0,0.0,0.356,0.0,0.032,0.0,0.0,0.141,0.0,0.0,0.139,0.0,0.0,0.0,0.0,0.0,0.8946,0.47010730710270826,External_Hazard,Not_Applicable,6.66,0,-0.2,0,-0.2,0.0,-0.2703,0.0,-403.1500000000001,0.10000000000000009,0.2703,0.008000000000000007,-0.6700000000000002,-0.061000000000000006,0.012879999999999999,0.0,-7.6,-112.517359223301,0.896,0.0,-0.356,-0.032,0.141,0.0,-0.139,0.0,0.0,-0.4244926928972917,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
03_RT,3,Q2,Speed,Speed2,7,6.0,1.0,1,2,0,0,59,1,0,24.0,39.97,0,0,5.0,0.4,0.0,0,0,0.0,0.0,0.0,0.0,0.8245,0.5064,0.0,0.0,2645.3,2853.12,2.4,2.1,-0.8245,-0.5064,0.144,0.098,2.6,4.0,0.183,0.028,0.00982,0.00237,0.4,0.0,0.0,0.0,1,1.501,7,0,307.67199999999997,549.2405063291139,1.037,0.155,0.0,0.227,0.0,0.0,0.168,0.0,0.0,0.0,0.0,0.103,0.0,0.0,0.0,0.0,0.072,0.0,0.7445999999999999,0.6768820786142572,External_Hazard,Not_Applicable,15.969999999999999,0,-0.4,0,0.0,0.0,-0.31810000000000005,0.0,207.8199999999997,-0.2999999999999998,0.31810000000000005,-0.045999999999999985,1.4,-0.155,-0.00745,-0.4,0.0,241.56850632911397,-0.8819999999999999,0.227,0.0,-0.168,0.0,0.103,0.0,0.0,-0.072,-0.06771792138574273,2.0,24.0,0.0,5.0,0.2,0.987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.905,0.0,2762.87,1.8,-0.905,0.124,1.22,0.0,0.0,0.0,0.0,0.0,0.0,0.041,11.0,2.2,1423.33,0.03,0.02516,0.0,0.0,0.0,1.957,7.0,1.0,0
03_RT,3,Q3,Sign,Markings,7,6.0,1.0,1,2,0,0,59,1,0,36.0,0.0,0,0,5.0,0.4,0.0,0,0,0.2,0.0,0.0,0.0,0.1575,0.3728,0.0,0.0,2784.03,4877.77,2.5,1.7,-0.1575,-0.3728,0.127,0.115,2.6,0.43,0.455,0.002,0.01757,0.00614,0.4,0.0,24.4,0.0,1,2.34,7,0,371.228,91.47435897435898,0.0,1.127,0.0,0.0,0.242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.438,0.0,0.0,0.0,0.168,0.226,0.8304,0.4217948717948718,External_Hazard,Not_Applicable,-36.0,0,-0.4,0,-0.2,0.0,0.21530000000000002,0.0,2093.7400000000002,-0.8,-0.21530000000000002,-0.011999999999999997,-2.17,-0.453,-0.01143,-0.4,-24.4,-279.75364102564106,1.127,0.0,-0.242,0.0,0.0,0.0,-0.438,0.0,0.057999999999999996,-0.40860512820512823,2.0,24.0,0.0,5.0,0.4,0.544,0.012,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.1433,0.0,2982.89,2.5,-0.1433,0.126,0.168,0.0,0.242,0.0,0.0,0.0,0.0,0.283,13.0,2.6,1925.14,0.476,0.01358,0.2,24.4,1.0,1.501,7.0,0.0,0
04_RT,3,Q1,Animal,Rabbit,3,5.0,10.0,1,4,0,0,31,1,0,0.0,0.0,0,0,5.0,0.2,0.221,0,0,0.0,0.221,0.0,0.0,0.8575,0.7089,0.0,0.0,3437.65,2625.34,1.0,0.9,-0.8575,-0.7089,0.062,0.033,2.6,0.22,0.083,0.189,0.03808,0.03433,0.4,0.221,49.7,73.3,1,4.525,3,1,472.076,17.25966850828729,0.0,0.71,3.168,0.0,0.0,0.0,0.0,0.0,0.0,0.972,0.0,0.0,0.016,0.0,0.0,0.0,0.0,0.0,0.36319999999999997,0.6282872928176796,External_Hazard,Not_Applicable,0.0,0,0.02099999999999999,0,0.221,0.0,-0.14860000000000007,0.0,-812.31,-0.09999999999999998,0.14860000000000007,-0.028999999999999998,-2.38,0.106,-0.0037500000000000033,-0.17900000000000002,23.599999999999994,-454.81633149171273,0.71,-3.168,0.0,0.0,0.972,0.0,-0.016,0.0,0.0,0.2650872928176796,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
