Participant_ID,Route_ID,Event,Question_Type,Specific_Target,Confidence,Driving_Years_Num,Video_Game_Years_Num,Age_Num,Driving_Hours_Num,Video_Game_Hours_Num,Experienced_Lag_Bin,Subjective_Mental_Demand_Num,Gender_Female,Gender_Male,Before_Blink_Rate_BPM,During_Blink_Rate_BPM,Before_Disrupted,During_Disrupted,Before_Duration_s,Before_Fine_SRR,During_Fine_SRR,Before_Hazard_Encountered,During_Hazard_Encountered,Before_Major_SRR,During_Major_SRR,Before_Max_Brake,During_Max_Brake,Before_Mean_Abs_Steering,During_Mean_Abs_Steering,Before_Mean_Brake,During_Mean_Brake,Before_Mean_Saccadic_Velocity,During_Mean_Saccadic_Velocity,Before_Mean_Speed_mph,During_Mean_Speed_mph,Before_Mean_Steering,During_Mean_Steering,Before_Mean_Throttle,During_Mean_Throttle,Before_Saccade_Rate_Hz,During_Saccade_Rate_Hz,Before_Speed_Variance,During_Speed_Variance,Before_Steer_Variance,During_Steer_Variance,Before_TRR,During_TRR,Before_Zero_Throttle_Pct,During_Zero_Throttle_Pct,Target_Accuracy,Target_Latency,Target_Confidence,Target_Severe_Overload,Before_Scanpath_Rate_px_s,During_Scanpath_Rate_px_s,Before_Raw_Dwell_Target_Object,During_Raw_Dwell_Target_Object,Before_Raw_Dwell_bumper_Distractor,During_Raw_Dwell_bumper_Distractor,Before_Raw_Dwell_cone_Distractor,During_Raw_Dwell_cone_Distractor,Before_Raw_Dwell_lwheel_Distractor,During_Raw_Dwell_lwheel_Distractor,Before_Raw_Dwell_Animal_Distractor,During_Raw_Dwell_Animal_Distractor,Before_Raw_Dwell_Sign_Distractor,During_Raw_Dwell_Sign_Distractor,Before_Raw_Dwell_map_Distractor,During_Raw_Dwell_map_Distractor,Before_Raw_Dwell_name_Distractor,During_Raw_Dwell_name_Distractor,Before_Raw_Dwell_speed_Distractor,During_Raw_Dwell_speed_Distractor,Before_Raw_Dwell_rwheel_Distractor,During_Raw_Dwell_rwheel_Distractor,Before_Road_Gaze_Pct,During_Road_Gaze_Pct,Target_Category,Name_Recall_Strategy,Delta_Blink_Rate_BPM,Delta_Disrupted,Delta_Fine_SRR,Delta_Hazard_Encountered,Delta_Major_SRR,Delta_Max_Brake,Delta_Mean_Abs_Steering,Delta_Mean_Brake,Delta_Mean_Saccadic_Velocity,Delta_Mean_Speed_mph,Delta_Mean_Steering,Delta_Mean_Throttle,Delta_Saccade_Rate_Hz,Delta_Speed_Variance,Delta_Steer_Variance,Delta_TRR,Delta_Zero_Throttle_Pct,Delta_Scanpath_Rate_px_s,Delta_Raw_Dwell_Target_Object,Delta_Raw_Dwell_bumper_Distractor,Delta_Raw_Dwell_cone_Distractor,Delta_Raw_Dwell_lwheel_Distractor,Delta_Raw_Dwell_Animal_Distractor,Delta_Raw_Dwell_Sign_Distractor,Delta_Raw_Dwell_map_Distractor,Delta_Raw_Dwell_name_Distractor,Delta_Raw_Dwell_speed_Distractor,Delta_Raw_Dwell_rwheel_Distractor,Delta_Road_Gaze_Pct,Prev_Q_After_Blink_Count,Prev_Q_After_Blink_Rate_BPM,Prev_Q_After_Disrupted,Prev_Q_After_Duration_s,Prev_Q_After_Fine_SRR,Prev_Q_After_Fix_Dwell_Animal,Prev_Q_After_Fix_Dwell_Sign,Prev_Q_After_Fix_Dwell_bumper,Prev_Q_After_Fix_Dwell_cone,Prev_Q_After_Fix_Dwell_lwheel,Prev_Q_After_Fix_Dwell_map,Prev_Q_After_Fix_Dwell_name,Prev_Q_After_Fix_Dwell_rwheel,Prev_Q_After_Fix_Dwell_speed,Prev_Q_After_Hazard_Encountered,Prev_Q_After_Major_SRR,Prev_Q_After_Max_Brake,Prev_Q_After_Mean_Abs_Steering,Prev_Q_After_Mean_Brake,Prev_Q_After_Mean_Saccadic_Velocity,Prev_Q_After_Mean_Speed_mph,Prev_Q_After_Mean_Steering,Prev_Q_After_Mean_Throttle,Prev_Q_After_Raw_Dwell_Animal,Prev_Q_After_Raw_Dwell_Sign,Prev_Q_After_Raw_Dwell_bumper,Prev_Q_After_Raw_Dwell_cone,Prev_Q_After_Raw_Dwell_lwheel,Prev_Q_After_Raw_Dwell_map,Prev_Q_After_Raw_Dwell_name,Prev_Q_After_Raw_Dwell_rwheel,Prev_Q_After_Raw_Dwell_speed,Prev_Q_After_Saccade_Count,Prev_Q_After_Saccade_Rate_Hz,Prev_Q_After_Scanpath_Length_px,Prev_Q_After_Speed_Variance,Prev_Q_After_Steer_Variance,Prev_Q_After_TRR,Prev_Q_After_Zero_Throttle_Pct,Prev_Q_Target_Accuracy,Prev_Q_Target_Latency,Prev_Q_Target_Confidence,Prev_Q_Target_Severe_Overload,Target_Post_Q_Collision
02_RT,5,Q1,Animal,Dog,7.0,1.0,10.0,1,5,2,0,18,0,1,12.0,0.0,0,0,5.0,0.2,0.0,0,0,0.2,0.0,0.0,0.0,0.8121,0.8595,0.0,0.0,2151.65,0.0,1.9,2.0,0.8109,0.8595,0.156,0.08,1.6,0.0,0.228,0.049,0.09999,0.00065,0.0,0.0,0.0,45.4,1,1.085,7.0,0,143.764,0.0,0.573,1.085,0.231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8392,0.0,External_Hazard,Not_Applicable,-12.0,0,-0.2,0,-0.2,0.0,0.0474,0.0,-2151.65,0.10000000000000009,0.04860000000000009,-0.076,-1.6,-0.179,-0.09934,0.0,45.4,-143.764,0.512,-0.231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8392,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
02_RT,5,Q2,Name,Name2,6.0,1.0,10.0,1,5,2,0,18,0,1,12.0,0.0,0,0,5.0,0.0,0.455,0,0,0.0,0.455,0.0,0.0,0.9895,0.1881,0.0,0.0,2060.09,2569.82,1.9,2.8,0.9895,0.1881,0.157,0.107,2.2,1.82,0.689,0.039,0.0005,0.00922,0.0,0.0,0.0,19.9,1,2.199,6.0,0,205.158,280.350159163256,0.0,0.308,0.0,0.0,0.0,0.0,0.036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036,0.0,0.0,0.0,0.9856,0.8599363346975898,Dashboard_Recall,Visual_Search,-12.0,0,0.455,0,0.455,0.0,-0.8014000000000001,0.0,509.73,0.8999999999999999,-0.8014000000000001,-0.05,-0.3800000000000001,-0.6499999999999999,0.00872,0.0,19.9,75.19215916325604,0.308,0.0,0.0,-0.036,0.0,0.0,0.0,0.0,-0.036,0.0,-0.12566366530241024,1.0,12.0,0.0,5.0,0.4,1.278,0.216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.8521,0.0,3196.47,1.5,0.8521,0.108,1.562,0.035,0.0,0.0,0.076,0.0,0.0,0.0,0.0,13.0,2.6,2380.73,0.256,0.02898,0.4,26.9,1.0,1.085,7.0,0.0,0
02_RT,5,Q3,Sign,FrostDam,4.0,1.0,10.0,1,5,2,0,18,0,1,24.0,0.0,0,0,5.0,0.6,0.0,0,0,0.2,0.0,0.0,0.0,0.1475,0.1079,0.0,0.0,2781.17,1890.54,1.5,3.0,0.1475,0.1079,0.132,0.076,2.0,1.12,0.847,0.133,0.0166,0.00196,0.2,0.0,23.2,32.9,0,1.783,4.0,1,335.19,83.0790802019069,1.39,0.556,0.03,0.0,0.0,0.0,0.034,0.0,0.797,0.228,0.0,0.0,0.0,0.0,0.156,0.0,0.0,0.0,0.0,0.0,0.5186,0.5602916432978127,External_Hazard,Not_Applicable,-24.0,0,-0.6,0,-0.2,0.0,-0.039599999999999996,0.0,-890.6300000000001,1.5,-0.039599999999999996,-0.05600000000000001,-0.8799999999999999,-0.714,-0.01464,-0.2,9.7,-252.1109197980931,-0.8339999999999999,-0.03,0.0,-0.034,-0.5690000000000001,0.0,0.0,-0.156,0.0,0.0,0.04169164329781272,2.0,24.0,0.0,5.0,0.4,2.356,1.856,0.0,0.0,0.0,0.0,0.516,0.0,0.0,0.0,0.2,0.0,0.1633,0.0,2763.63,1.4,0.1633,0.117,0.797,1.321,0.03,0.0,0.034,0.0,0.557,0.0,0.0,9.0,1.8,1534.11,0.596,0.01702,0.2,31.2,1.0,2.199,6.0,0.0,0
03_RT,5,Q1,Animal,Dog,6.0,6.0,1.0,1,2,0,0,85,1,0,24.0,0.0,0,0,5.0,0.2,0.0,0,0,0.2,0.0,0.0,0.0,0.6744,0.8893,0.0,0.0,2243.15,3348.27,2.2,3.6,0.6741,0.8893,0.226,0.205,2.0,0.9,1.006,0.012,0.12401,0.00019,0.2,0.0,0.0,14.2,1,1.107,6.0,0,165.154,112.82746160794942,0.106,0.466,0.158,0.0,0.0,0.0,0.531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.841,0.5790424570912376,External_Hazard,Not_Applicable,-24.0,0,-0.2,0,-0.2,0.0,0.21489999999999998,0.0,1105.12,1.4,0.21519999999999995,-0.02100000000000002,-1.1,-0.994,-0.12382,-0.2,14.2,-52.32653839205058,0.36000000000000004,-0.158,0.0,-0.531,0.0,0.0,0.0,0.0,0.0,0.0,-0.2619575429087624,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
03_RT,5,Q2,Name,Name2,7.0,6.0,1.0,1,2,0,0,85,1,0,24.0,46.04,0,0,5.0,0.4,0.0,0,0,0.0,0.0,0.0,0.0,0.7491,0.2905,0.0,0.0,2462.82,2728.76,2.7,2.8,0.7491,0.2905,0.161,0.087,2.0,1.53,0.448,0.293,0.02792,0.00609,0.4,0.0,19.1,0.0,1,2.607,7.0,0,346.37199999999996,219.27886459532027,0.0,0.111,0.239,0.0,0.0,0.0,0.0,0.0,0.0,0.219,0.0,0.0,0.596,0.168,0.0,0.0,0.0,0.0,0.036,0.0,0.8257999999999999,0.8089758342922899,Dashboard_Recall,Visual_Search,22.04,0,-0.4,0,0.0,0.0,-0.4586,0.0,265.94000000000005,0.09999999999999964,-0.4586,-0.07400000000000001,-0.47,-0.15500000000000003,-0.021830000000000002,-0.4,-19.1,-127.09313540467969,0.111,-0.239,0.0,0.0,0.219,0.0,-0.42799999999999994,0.0,0.0,-0.036,-0.016824165707709948,3.0,36.0,0.0,5.0,0.0,0.0,0.0,0.176,0.0,0.0,0.0,0.0,0.108,0.0,0.0,0.0,0.0,0.9941,0.0,2759.32,1.9,0.9941,0.155,0.0,0.0,0.322,0.0,0.0,0.0,0.0,0.113,0.0,10.0,2.0,1267.38,0.762,0.00015,0.4,42.4,1.0,1.107,6.0,0.0,0
03_RT,5,Q3,Sign,FrostDam,1.0,6.0,1.0,1,2,0,0,85,1,0,48.0,39.21,0,0,5.0,0.2,0.0,0,0,0.2,0.0,0.0,0.0,0.1935,0.5224,0.0,0.0,3129.5,3363.0,2.4,2.4,0.1935,0.5224,0.12,0.114,2.0,2.61,0.34,0.04,0.01165,0.03236,0.0,0.0,0.0,0.0,0,3.061,1.0,1,344.556,563.3812479581836,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.453,0.893,0.0,0.0,0.168,0.0,0.282,0.0,0.0,0.0,0.0,0.0,0.8193999999999999,0.6984645540672982,External_Hazard,Not_Applicable,-8.79,0,-0.2,0,-0.2,0.0,0.32889999999999997,0.0,233.5,0.0,0.32889999999999997,-0.0059999999999999915,0.6099999999999999,-0.30000000000000004,0.02071,0.0,0.0,218.82524795818364,0.03,0.0,0.0,0.0,0.44,0.0,-0.168,-0.282,0.0,0.0,-0.12093544593270167,3.0,36.0,0.0,5.0,0.0,1.34,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.283,0.0,3436.88,2.3,0.283,0.136,1.127,0.03,0.0,0.0,0.0,0.0,0.171,0.0,0.0,12.0,2.4,2373.09,0.091,0.03405,0.0,0.0,1.0,2.607,7.0,0.0,0
04_RT,5,Q1,Animal,Dog,7.0,5.0,10.0,1,4,0,0,20,1,0,0.0,0.0,0,0,5.0,0.2,0.0,0,0,0.0,0.0,0.0,0.0,0.8925,0.4376,0.0,0.0,2929.09,1415.16,1.3,1.4,0.8925,0.4376,0.087,0.084,2.4,1.46,0.121,0.014,0.01125,0.00356,0.4,0.0,27.0,14.2,1,1.369,7.0,0,433.088,41.176040905770634,0.031,0.192,0.197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.205,0.268,0.199,0.0,0.033,0.0,0.506,0.0,0.0,0.0,0.7657999999999999,0.6639883126369613,External_Hazard,Not_Applicable,0.0,0,-0.2,0,0.0,0.0,-0.45489999999999997,0.0,-1513.93,0.09999999999999987,-0.45489999999999997,-0.002999999999999989,-0.94,-0.107,-0.00769,-0.4,-12.8,-391.91195909422936,0.161,-0.197,0.0,0.0,0.0,0.06300000000000003,-0.199,-0.033,-0.506,0.0,-0.10181168736303858,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
04_RT,5,Q2,Name,Name2,7.0,5.0,10.0,1,4,0,0,20,1,0,0.0,0.0,0,0,5.0,0.4,0.0,0,0,0.2,0.0,0.0,0.0,0.8611,0.8321,0.0,0.0,2736.31,3925.57,1.5,1.7,0.8611,0.8321,0.096,0.077,2.8,2.8,0.208,0.045,0.05973,0.00418,0.4,0.0,34.4,17.3,1,1.43,7.0,0,462.61800000000005,954.4965034965036,0.0,0.318,0.0,0.0,0.0,0.0,0.191,0.0,0.0,0.0,0.0,0.0,0.627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8364,0.7776223776223776,Dashboard_Recall,Visual_Search,0.0,0,-0.4,0,-0.2,0.0,-0.029000000000000026,0.0,1189.2600000000002,0.19999999999999996,-0.029000000000000026,-0.019000000000000003,0.0,-0.16299999999999998,-0.05555,-0.4,-17.099999999999998,491.8785034965035,0.318,0.0,0.0,-0.191,0.0,0.0,-0.627,0.0,0.0,0.0,-0.05877762237762241,0.0,0.0,0.0,5.0,0.6,1.099,0.795,0.0,0.0,0.0,0.308,0.0,0.0,0.0,0.0,0.0,0.0,0.9799,0.0,2875.59,1.3,0.9799,0.116,1.12,0.031,0.0,0.0,0.0,0.331,0.0,0.0,0.0,11.0,2.2,2153.19,0.035,0.0005,0.0,7.8,1.0,1.369,7.0,0.0,0
04_RT,5,Q3,Sign,FrostDam,6.0,5.0,10.0,1,4,0,0,20,1,0,0.0,0.0,0,0,5.0,0.4,0.0,0,0,0.0,0.0,0.0,0.0,0.0586,0.0654,0.0,0.0,3070.14,3858.65,1.7,2.2,0.0299,0.0654,0.097,0.107,2.4,1.15,0.342,0.021,0.00322,0.00068,0.4,0.0,40.5,12.5,1,1.732,6.0,0,590.45,325.4792147806005,0.882,0.56,0.15,0.0,0.0,0.0,0.0,0.0,0.962,0.213,0.0,0.0,1.163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3686,0.5536951501154734,External_Hazard,Not_Applicable,0.0,0,-0.4,0,0.0,0.0,0.0068000000000000005,0.0,788.5100000000002,0.5000000000000002,0.035500000000000004,0.009999999999999995,-1.25,-0.321,-0.00254,-0.4,-28.0,-264.97078521939954,-0.32199999999999995,-0.15,0.0,0.0,-0.749,0.0,-1.163,0.0,0.0,0.0,0.18509515011547345,0.0,0.0,0.0,5.0,0.4,1.528,0.848,0.0,0.0,0.0,0.224,0.0,0.0,0.0,0.0,0.4,0.0,0.3833,0.0,3133.32,2.1,0.3449,0.134,0.566,0.0,0.0,0.0,0.0,0.254,0.019,0.0,0.0,10.0,2.0,2189.53,0.269,0.1348,0.4,28.9,1.0,1.43,7.0,0.0,0
05_RT,5,Q1,Animal,Dog,7.0,11.0,5.0,2,4,1,0,18,0,1,0.0,0.0,0,0,5.0,0.2,0.0,0,0,0.0,0.0,0.0,0.0,0.98,1.0,0.0,0.0,3056.3,2913.47,1.8,1.9,0.98,1.0,0.122,0.13,1.6,3.22,0.006,0.001,0.00082,0.0,0.0,0.0,0.0,0.0,1,0.932,7.0,0,336.944,766.3948497854077,0.561,0.21,0.461,0.203,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.035,0.0,0.198,0.0,0.743,0.5568669527896996,External_Hazard,Not_Applicable,0.0,0,-0.2,0,0.0,0.0,0.020000000000000018,0.0,-142.83000000000038,0.09999999999999987,0.020000000000000018,0.008000000000000007,1.62,-0.005,-0.00082,0.0,0.0,429.4508497854077,-0.3510000000000001,-0.258,0.0,0.0,0.0,-0.03,0.0,0.0,-0.035,-0.198,-0.18613304721030044,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
